budget,dropped,drop_total_pct,drop_ordinary_pct
500,23596,36.49750197212727,40.968122786304605
550,20196,31.238495924270314,35.064935064935064
600,16802,25.988770475321342,29.17216473366206
650,13530,20.927750537501353,23.491214667685256
700,10417,16.112666470742912,18.086325439266616
750,7426,11.486287915113456,12.893256476144177
800,4755,7.354874634576418,8.255781651503577
850,2639,4.081916753027795,4.5819154107924165
900,1017,1.573061514903095,1.7657476213625947
950,230,0.35575629147267634,0.3993332870338218
1000,44,0.06805772532520765,0.07639419404125286
